feature,definition,high,low,confusable_with,frequency_note
instruction_adherence,"The response directly addresses the specific task or question posed in the prompt, without ignoring subparts or substituting a different question.","Answers exactly what was asked, covers all subparts.","Answers a related but different question, or ignores key constraints in the prompt.",completeness (adherence is about being on-task; completeness is about depth of coverage within task),"Expected high — ""addresses"", ""answers the question"", ""relevant to"" appear frequently."
specificity,"The response provides concrete details, numbers, named entities, or step-by-step instructions rather than generic statements.","Names specific tools, quantities, steps, or examples.","Uses vague language: ""it depends"", ""you should consider"", ""many options exist"".",completeness (a response can be long and complete yet still vague; specificity is about concreteness not length),"Expected high — ""specific"", ""detail"", ""example"", ""step"" are common annotator words."
completeness,"The response covers all logically necessary parts of the answer given the prompt, leaving no important sub-question unaddressed.",Addresses every facet the prompt raises; a follow-up question would be unnecessary.,Leaves out a sub-question or stops before a natural conclusion.,instruction_adherence (completeness is about coverage depth; adherence is about being on-target at all),"Expected moderate — ""complete"", ""covers"", ""missing"" appear but less than specificity terms."
clarity,"The response is written in language that is easy to parse: simple vocabulary appropriate to the audience, short sentences, no ambiguous pronoun references.",A non-expert could follow it without re-reading.,"Dense jargon, long tangled sentences, or ambiguous referents.",coherence (clarity is sentence-level readability; coherence is paragraph/discourse-level logical flow),"Expected high — ""clear"", ""easy to understand"", ""simple"" are frequent annotator phrases."
coherence,"The response has a logical internal structure: ideas are ordered sensibly, transitions are present, and no contradictions appear within the text.",Reading order matches logical order; conclusion follows from body.,"Ideas jump around, contradict each other, or repeat without adding content.",clarity (coherence is about logical flow between ideas; clarity is about word/sentence legibility),"Expected moderate — ""organized"", ""structured"", ""flows"" appear but less often than clarity terms."
conciseness,"The response delivers needed information without unnecessary padding, repetition, or off-topic digressions.",Same informational content as a longer response; no filler sentences.,"Repeats points already made, adds boilerplate caveats, pads with pleasantries.",completeness (a concise response can still be complete; the trade-off only applies when content is actually omitted),"Expected moderate — ""concise"", ""brief"", ""to the point"" appear; may overlap with clarity in annotations."
factual_plausibility,The factual claims in the response are consistent with broadly known facts and do not contain obvious errors or hallucinations.,All stated facts are correct or at minimum not obviously wrong.,"Contains incorrect figures, impossible claims, or contradicts well-known facts.",instruction_adherence (a response can be on-topic but factually wrong; these are orthogonal),"Expected moderate — ""accurate"", ""correct"", ""wrong"" appear; may be harder to score without domain knowledge."
tone_fit,"The formality, warmth, and register of the response match the implied context of the prompt (e.g. formal for professional queries, empathetic for personal struggles).",Matches the social register of the prompt naturally.,"Inappropriately casual for a formal request, or clinically cold for an emotional one.","safety/appropriateness (tone_fit is about register match, not about harm avoidance)","Expected moderate — ""tone"", ""formal"", ""friendly"", ""empathetic"" appear; may be less common for factual prompts."
actionability,"The response gives the user something concrete they can do next: a specific recommendation, step, command, or decision criterion.",User can act immediately without further research.,Presents tradeoffs or background without guiding toward a decision.,"specificity (actionability requires specificity, but a response can be specific about background facts without being actionable)","Expected moderate — ""practical"", ""actionable"", ""step"", ""recommend"" appear; most useful for how-to prompts."
use_of_examples,"The response illustrates its claims with at least one concrete example, analogy, or worked demonstration.",Includes one or more examples that directly support the main point.,Makes claims in the abstract with no illustration.,"specificity (examples are one way to achieve specificity, but specificity can also come from numbers or named entities without an example)","Expected moderate to high — ""example"", ""for instance"", ""such as"" appear frequently in n-grams."
safety,"The response avoids harmful, offensive, or inappropriate content and does not assist with clearly unethical requests.",No harmful content; appropriate disclaimers where genuinely needed.,"Contains harmful instructions, discriminatory language, or reckless advice.",tone_fit (safety is about harm avoidance; tone_fit is about register match — a safe response can still have the wrong tone),"Expected low frequency in annotations (most responses are safe), but important to include as a near-zero baseline feature."
